system:index,num_images,time,.geo
0,7,1370044800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7,1370649600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7,1371254400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3,1371859200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7,1372464000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7,1373068800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,1373673600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7,1374278400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5,1374883200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7,1375488000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7,1376092800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7,1376697600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7,1377302400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7,1377907200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7,1378512000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7,1379116800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7,1379721600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7,1380326400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7,1380931200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7,1381536000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7,1382140800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7,1382745600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7,1383350400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,6,1383955200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,7,1384560000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,7,1385164800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,7,1385769600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,7,1386374400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,7,1386979200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,7,1387584000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7,1388188800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
